semester,course,grade,credits
1,Digital Systems,B+,4
2,Technical Communication,A+,3
2,Transform Techniques and Partial Differential Equations,B+,4
2,Chemistry of Materials,B,4
2,Object Oriented Programming in C++,A,4
2,Data Structures,A,3
2,Computer Architecture,B,3
2,Data Structures Laboratory,A+,2
